price,soc,soc_mwh,grid_import_mwh,grid_export_mwh,charge_mwh,discharge_mwh,objective,revenue,cumulative_revenue,generation_mw,charge_btm_mwh,charge_grid_mwh,charge_surplus_mwh,generation_mwh,generation_revenue_uncurtailed,generation_curtailed_mwh,generation_revenue_curtailed,pv_net_export_mwh,total_export_mwh
129.85,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,173.87995348357427,0.1275,0.0,0.0,0.0,0.1275,16.379925,0.1275,16.379925,0.1275,0.1275
136.4,1.0,2.0,0.0,-0.0,0.0,-0.0,0.0,0.0,173.87995348357427,0.04,0.0,0.0,0.0,0.04,5.4008,0.04,5.4008,0.04,0.04
138.72,1.0,2.0,-0.0,0.0,0.0,0.0,0.0,0.0,173.87995348357427,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142.0,1.0,2.0,-0.0,0.0,0.0,0.0,0.0,0.0,173.87995348357427,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151.24,0.4729537233052701,0.9459074466105402,-0.0,1.0,0.0,1.0540925533894598,149.86,149.86,323.73995348357425,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
143.85,-0.0,-0.0,-0.0,0.8973665961010275,0.0,0.9459074466105402,127.84781894651337,127.84781894651337,451.5877724300876,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8973665961010275
137.96,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,451.5877724300876,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129.49,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,451.5877724300876,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.83,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,451.5877724300876,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.29,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,451.5877724300876,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
